year,month,day,hour,street,crash_type,severity,lighting,weather,speed_limit,pedestrians_involved,cyclists_involved,date
2020,4,5,22,Lee Hwy,Rear-End,Property Damage Only,Dark - Unlighted,Rain,25,0,0,2020-04-05
2023,9,27,21,N Pershing Dr,Rear-End,Property Damage Only,Dark - Unlighted,Clear,30,0,0,2023-09-27
2023,7,5,17,Lee Hwy,Angle,Property Damage Only,Dark - Lighted,Snow/Ice,45,0,0,2023-07-05
2019,7,12,6,Glebe Rd,Head-On,Injury,Dark - Unlighted,Clear,45,0,0,2019-07-12
2020,9,8,7,Arlington Blvd,Single Vehicle,Property Damage Only,Dawn/Dusk,Snow/Ice,30,0,0,2020-09-08
2021,11,19,17,Washington Blvd,Head-On,Property Damage Only,Dark - Unlighted,Clear,45,0,0,2021-11-19
2023,9,14,19,Lee Hwy,Single Vehicle,Property Damage Only,Dark - Lighted,Snow/Ice,30,0,0,2023-09-14
2021,1,21,12,Washington Blvd,Single Vehicle,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2021-01-21
2023,2,10,8,Columbia Pike,Single Vehicle,Injury,Dark - Lighted,Clear,35,0,0,2023-02-10
2022,9,5,7,N Fairfax Dr,Rear-End,Injury,Dark - Lighted,Clear,45,0,0,2022-09-05
2021,1,14,14,Wilson Blvd,Head-On,Serious Injury,Dark - Unlighted,Rain,30,0,0,2021-01-14
2022,2,12,6,Glebe Rd,Rear-End,Serious Injury,Dark - Unlighted,Rain,25,0,0,2022-02-12
2021,3,5,9,Wilson Blvd,Sideswipe,Property Damage Only,Dawn/Dusk,Snow/Ice,30,0,0,2021-03-05
2022,8,20,16,Wilson Blvd,Rear-End,Property Damage Only,Daylight,Fog,35,0,0,2022-08-20
2020,3,18,18,S Walter Reed Dr,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,25,1,0,2020-03-18
2021,4,10,8,Columbia Pike,Rear-End,Injury,Dark - Lighted,Clear,45,0,0,2021-04-10
2023,8,3,15,Columbia Pike,Single Vehicle,Injury,Dawn/Dusk,Fog,25,0,0,2023-08-03
2023,10,8,9,Lee Hwy,Sideswipe,Injury,Dawn/Dusk,Clear,25,0,0,2023-10-08
2023,6,8,19,S Walter Reed Dr,Head-On,Property Damage Only,Dark - Lighted,Clear,25,0,0,2023-06-08
2023,6,3,18,N Pershing Dr,Pedestrian Involved,Property Damage Only,Daylight,Clear,45,1,0,2023-06-03
2022,1,21,17,N Fairfax Dr,Sideswipe,Injury,Dark - Unlighted,Rain,25,0,0,2022-01-21
2021,2,12,17,Glebe Rd,Bicycle Involved,Property Damage Only,Daylight,Clear,35,0,1,2021-02-12
2020,1,12,9,N Pershing Dr,Sideswipe,Property Damage Only,Dark - Lighted,Cloudy,45,0,0,2020-01-12
2022,11,6,15,Lee Hwy,Rear-End,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2022-11-06
2021,4,2,21,Glebe Rd,Rear-End,Property Damage Only,Dark - Unlighted,Rain,35,0,0,2021-04-02
2023,7,27,13,N Pershing Dr,Head-On,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2023-07-27
2020,5,12,19,Wilson Blvd,Single Vehicle,Serious Injury,Dark - Unlighted,Rain,35,0,0,2020-05-12
2019,6,14,17,N Fairfax Dr,Bicycle Involved,Serious Injury,Dawn/Dusk,Rain,45,0,1,2019-06-14
2021,3,16,7,Washington Blvd,Sideswipe,Property Damage Only,Dark - Unlighted,Rain,25,0,0,2021-03-16
2022,2,14,11,S Walter Reed Dr,Single Vehicle,Injury,Dark - Lighted,Cloudy,35,0,0,2022-02-14
2021,2,3,21,Clarendon Blvd,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,35,0,1,2021-02-03
2022,10,23,23,N Fairfax Dr,Angle,Injury,Dawn/Dusk,Clear,35,0,0,2022-10-23
2022,1,24,21,Clarendon Blvd,Pedestrian Involved,Injury,Dawn/Dusk,Clear,35,1,0,2022-01-24
2019,2,22,15,N Fairfax Dr,Sideswipe,Property Damage Only,Dark - Lighted,Clear,25,0,0,2019-02-22
2020,10,22,9,Washington Blvd,Rear-End,Injury,Dark - Lighted,Clear,25,0,0,2020-10-22
2020,11,12,9,Clarendon Blvd,Head-On,Property Damage Only,Daylight,Clear,30,0,0,2020-11-12
2022,6,12,21,Washington Blvd,Single Vehicle,Property Damage Only,Daylight,Clear,30,0,0,2022-06-12
2023,6,13,17,Clarendon Blvd,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,30,0,1,2023-06-13
2019,1,24,12,Lee Hwy,Head-On,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2019-01-24
2021,5,23,13,Washington Blvd,Angle,Property Damage Only,Dark - Unlighted,Cloudy,45,0,0,2021-05-23
2020,2,5,10,Columbia Pike,Head-On,Property Damage Only,Dark - Lighted,Rain,45,0,0,2020-02-05
2019,11,28,0,Clarendon Blvd,Bicycle Involved,Injury,Dark - Unlighted,Clear,25,0,1,2019-11-28
2023,9,10,22,Arlington Blvd,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,30,0,0,2023-09-10
2021,9,8,5,Columbia Pike,Angle,Fatal,Dark - Lighted,Clear,30,0,0,2021-09-08
2022,1,12,16,N Pershing Dr,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Rain,45,1,0,2022-01-12
2023,3,20,7,Columbia Pike,Rear-End,Injury,Dark - Unlighted,Clear,45,0,0,2023-03-20
2022,9,14,7,N Fairfax Dr,Single Vehicle,Property Damage Only,Daylight,Clear,30,0,0,2022-09-14
2021,11,3,15,Washington Blvd,Head-On,Property Damage Only,Dark - Unlighted,Snow/Ice,30,0,0,2021-11-03
2023,11,19,12,Lee Hwy,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,45,0,0,2023-11-19
2023,1,27,11,Columbia Pike,Pedestrian Involved,Property Damage Only,Dark - Lighted,Clear,35,1,0,2023-01-27
2020,3,11,7,Glebe Rd,Sideswipe,Injury,Dark - Unlighted,Cloudy,25,0,0,2020-03-11
2021,4,21,10,N Pershing Dr,Sideswipe,Property Damage Only,Dark - Lighted,Rain,35,0,0,2021-04-21
2023,9,3,11,N Pershing Dr,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,30,0,1,2023-09-03
2020,11,20,17,S Walter Reed Dr,Sideswipe,Injury,Daylight,Clear,25,0,0,2020-11-20
2019,1,21,7,S Walter Reed Dr,Sideswipe,Property Damage Only,Dark - Lighted,Rain,45,0,0,2019-01-21
2023,11,1,1,Washington Blvd,Bicycle Involved,Property Damage Only,Dark - Unlighted,Snow/Ice,35,0,1,2023-11-01
2022,4,26,7,N Fairfax Dr,Sideswipe,Injury,Dawn/Dusk,Clear,25,0,0,2022-04-26
2019,3,15,6,N Fairfax Dr,Head-On,Property Damage Only,Dawn/Dusk,Rain,30,0,0,2019-03-15
2021,10,5,19,Clarendon Blvd,Single Vehicle,Injury,Dark - Unlighted,Clear,35,0,0,2021-10-05
2022,3,25,17,Clarendon Blvd,Pedestrian Involved,Property Damage Only,Daylight,Clear,35,1,0,2022-03-25
2020,8,4,20,Arlington Blvd,Head-On,Property Damage Only,Dark - Lighted,Clear,30,0,0,2020-08-04
2019,1,10,7,N Fairfax Dr,Single Vehicle,Property Damage Only,Dawn/Dusk,Clear,30,0,0,2019-01-10
2020,6,19,15,Clarendon Blvd,Angle,Property Damage Only,Dark - Lighted,Fog,45,0,0,2020-06-19
2023,8,16,18,Arlington Blvd,Head-On,Property Damage Only,Daylight,Clear,25,0,0,2023-08-16
2022,9,15,10,Glebe Rd,Angle,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2022-09-15
2019,5,16,16,S Walter Reed Dr,Single Vehicle,Property Damage Only,Dawn/Dusk,Rain,35,0,0,2019-05-16
2023,1,28,12,Columbia Pike,Head-On,Property Damage Only,Dark - Lighted,Cloudy,35,0,0,2023-01-28
2021,7,12,18,Wilson Blvd,Head-On,Property Damage Only,Daylight,Fog,30,0,0,2021-07-12
2021,9,10,13,Columbia Pike,Head-On,Injury,Dawn/Dusk,Snow/Ice,35,0,0,2021-09-10
2023,11,20,11,Columbia Pike,Angle,Property Damage Only,Daylight,Clear,45,0,0,2023-11-20
2021,6,18,14,Clarendon Blvd,Single Vehicle,Injury,Dark - Lighted,Clear,30,0,0,2021-06-18
2023,9,13,6,N Pershing Dr,Rear-End,Injury,Daylight,Cloudy,25,0,0,2023-09-13
2020,12,11,14,Washington Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,30,1,0,2020-12-11
2023,9,5,0,Clarendon Blvd,Pedestrian Involved,Serious Injury,Dark - Unlighted,Clear,30,1,0,2023-09-05
2022,10,24,15,Arlington Blvd,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Rain,45,1,0,2022-10-24
2023,5,16,17,Wilson Blvd,Sideswipe,Injury,Dark - Unlighted,Clear,25,0,0,2023-05-16
2022,10,10,0,Wilson Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Cloudy,35,1,0,2022-10-10
2023,10,8,19,Wilson Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Rain,30,1,0,2023-10-08
2023,11,24,17,S Walter Reed Dr,Single Vehicle,Property Damage Only,Dawn/Dusk,Cloudy,30,0,0,2023-11-24
2020,1,19,11,Columbia Pike,Angle,Property Damage Only,Daylight,Clear,45,0,0,2020-01-19
2021,7,5,4,N Fairfax Dr,Bicycle Involved,Property Damage Only,Dark - Lighted,Rain,45,0,1,2021-07-05
2023,10,16,5,Wilson Blvd,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,30,0,1,2023-10-16
2023,6,22,10,Washington Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,35,1,0,2023-06-22
2020,8,18,17,Clarendon Blvd,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Rain,35,1,0,2020-08-18
2023,8,7,13,Glebe Rd,Sideswipe,Injury,Dark - Unlighted,Cloudy,30,0,0,2023-08-07
2021,5,23,17,Glebe Rd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,35,0,1,2021-05-23
2022,6,18,8,Arlington Blvd,Sideswipe,Property Damage Only,Daylight,Clear,45,0,0,2022-06-18
2022,6,25,13,Lee Hwy,Sideswipe,Property Damage Only,Daylight,Clear,35,0,0,2022-06-25
2019,6,15,18,Arlington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,30,0,1,2019-06-15
2020,9,9,17,N Pershing Dr,Bicycle Involved,Property Damage Only,Dark - Unlighted,Rain,30,0,1,2020-09-09
2019,10,24,12,S Walter Reed Dr,Angle,Property Damage Only,Dark - Lighted,Snow/Ice,25,0,0,2019-10-24
2023,4,21,18,Glebe Rd,Rear-End,Injury,Daylight,Clear,45,0,0,2023-04-21
2021,12,16,15,Columbia Pike,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,25,0,1,2021-12-16
2023,3,14,20,Washington Blvd,Head-On,Property Damage Only,Dark - Lighted,Cloudy,35,0,0,2023-03-14
2021,5,21,12,Wilson Blvd,Single Vehicle,Property Damage Only,Daylight,Clear,30,0,0,2021-05-21
2023,12,24,19,Wilson Blvd,Angle,Injury,Dawn/Dusk,Snow/Ice,30,0,0,2023-12-24
2019,7,26,17,Washington Blvd,Angle,Injury,Dark - Unlighted,Snow/Ice,25,0,0,2019-07-26
2019,5,19,8,S Walter Reed Dr,Rear-End,Property Damage Only,Dark - Unlighted,Clear,35,0,0,2019-05-19
2022,11,18,23,N Pershing Dr,Head-On,Serious Injury,Dark - Lighted,Clear,45,0,0,2022-11-18
2021,4,26,17,Columbia Pike,Sideswipe,Serious Injury,Dark - Lighted,Clear,45,0,0,2021-04-26
2021,12,6,15,Wilson Blvd,Bicycle Involved,Serious Injury,Dark - Unlighted,Clear,35,0,1,2021-12-06
2023,11,25,17,Glebe Rd,Angle,Property Damage Only,Dawn/Dusk,Cloudy,45,0,0,2023-11-25
2023,6,3,22,N Fairfax Dr,Bicycle Involved,Serious Injury,Daylight,Clear,30,0,1,2023-06-03
2020,8,11,19,Glebe Rd,Rear-End,Injury,Dark - Unlighted,Clear,45,0,0,2020-08-11
2020,8,25,19,Arlington Blvd,Sideswipe,Property Damage Only,Dark - Unlighted,Rain,25,0,0,2020-08-25
2021,11,12,7,Glebe Rd,Rear-End,Property Damage Only,Daylight,Clear,45,0,0,2021-11-12
2021,3,13,17,N Pershing Dr,Bicycle Involved,Property Damage Only,Dark - Unlighted,Rain,25,0,1,2021-03-13
2021,6,20,5,Glebe Rd,Angle,Property Damage Only,Dark - Lighted,Clear,45,0,0,2021-06-20
2020,8,24,18,S Walter Reed Dr,Sideswipe,Property Damage Only,Dawn/Dusk,Rain,45,0,0,2020-08-24
2023,11,27,20,Glebe Rd,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,25,0,0,2023-11-27
2023,8,17,1,Clarendon Blvd,Rear-End,Injury,Daylight,Clear,25,0,0,2023-08-17
2023,9,7,19,S Walter Reed Dr,Pedestrian Involved,Property Damage Only,Dark - Lighted,Cloudy,30,1,0,2023-09-07
2021,9,15,18,Columbia Pike,Bicycle Involved,Fatal,Dark - Lighted,Clear,45,0,1,2021-09-15
2019,9,15,18,Wilson Blvd,Head-On,Property Damage Only,Dark - Lighted,Clear,45,0,0,2019-09-15
2022,10,2,16,N Pershing Dr,Head-On,Injury,Dark - Unlighted,Cloudy,25,0,0,2022-10-02
2022,5,27,18,Wilson Blvd,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,25,0,1,2022-05-27
2019,7,12,17,Columbia Pike,Pedestrian Involved,Property Damage Only,Daylight,Clear,25,1,0,2019-07-12
2022,1,10,9,N Fairfax Dr,Angle,Property Damage Only,Dark - Lighted,Clear,45,0,0,2022-01-10
2021,7,15,7,N Fairfax Dr,Head-On,Property Damage Only,Daylight,Clear,30,0,0,2021-07-15
2021,2,6,23,N Pershing Dr,Head-On,Property Damage Only,Dark - Lighted,Clear,30,0,0,2021-02-06
2019,1,10,17,Washington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Cloudy,45,0,1,2019-01-10
2020,4,15,18,Clarendon Blvd,Angle,Property Damage Only,Dark - Unlighted,Clear,30,0,0,2020-04-15
2019,1,26,19,N Fairfax Dr,Pedestrian Involved,Serious Injury,Daylight,Clear,30,1,0,2019-01-26
2020,2,4,16,S Walter Reed Dr,Rear-End,Property Damage Only,Dawn/Dusk,Cloudy,25,0,0,2020-02-04
2020,12,2,7,N Fairfax Dr,Head-On,Serious Injury,Dark - Lighted,Rain,30,0,0,2020-12-02
2019,3,17,16,Arlington Blvd,Angle,Property Damage Only,Dark - Unlighted,Clear,35,0,0,2019-03-17
2020,5,5,7,N Pershing Dr,Angle,Property Damage Only,Dawn/Dusk,Clear,35,0,0,2020-05-05
2021,1,18,18,S Walter Reed Dr,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,45,0,1,2021-01-18
2023,8,2,22,Clarendon Blvd,Bicycle Involved,Injury,Dawn/Dusk,Cloudy,35,0,1,2023-08-02
2022,7,5,23,Arlington Blvd,Head-On,Property Damage Only,Dark - Lighted,Clear,45,0,0,2022-07-05
2020,4,10,18,Lee Hwy,Single Vehicle,Injury,Dawn/Dusk,Clear,25,0,0,2020-04-10
2023,7,14,18,N Pershing Dr,Pedestrian Involved,Property Damage Only,Dark - Lighted,Clear,45,1,0,2023-07-14
2020,5,7,14,Clarendon Blvd,Bicycle Involved,Property Damage Only,Daylight,Rain,45,0,1,2020-05-07
2021,2,18,6,Glebe Rd,Rear-End,Injury,Dark - Unlighted,Clear,45,0,0,2021-02-18
2023,10,2,6,Columbia Pike,Angle,Injury,Dark - Lighted,Cloudy,45,0,0,2023-10-02
2020,6,10,19,Wilson Blvd,Angle,Injury,Dark - Lighted,Rain,25,0,0,2020-06-10
2022,4,23,15,S Walter Reed Dr,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,45,0,1,2022-04-23
2020,9,11,10,Arlington Blvd,Head-On,Property Damage Only,Dawn/Dusk,Rain,35,0,0,2020-09-11
2021,5,12,13,N Pershing Dr,Head-On,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2021-05-12
2022,6,7,17,Clarendon Blvd,Sideswipe,Property Damage Only,Dawn/Dusk,Fog,25,0,0,2022-06-07
2023,4,24,13,Lee Hwy,Rear-End,Property Damage Only,Dark - Unlighted,Rain,45,0,0,2023-04-24
2021,3,7,19,Clarendon Blvd,Angle,Property Damage Only,Dawn/Dusk,Rain,30,0,0,2021-03-07
2022,9,21,15,Clarendon Blvd,Sideswipe,Property Damage Only,Dawn/Dusk,Fog,45,0,0,2022-09-21
2022,3,24,18,Clarendon Blvd,Angle,Injury,Dark - Lighted,Fog,45,0,0,2022-03-24
2020,9,21,19,Wilson Blvd,Pedestrian Involved,Injury,Daylight,Snow/Ice,25,1,0,2020-09-21
2019,1,14,17,Lee Hwy,Single Vehicle,Injury,Dark - Lighted,Rain,25,0,0,2019-01-14
2020,1,7,18,N Pershing Dr,Head-On,Property Damage Only,Dark - Unlighted,Fog,25,0,0,2020-01-07
2023,11,22,19,S Walter Reed Dr,Head-On,Property Damage Only,Dawn/Dusk,Snow/Ice,25,0,0,2023-11-22
2019,9,18,6,N Fairfax Dr,Rear-End,Property Damage Only,Daylight,Rain,35,0,0,2019-09-18
2023,5,1,7,N Pershing Dr,Single Vehicle,Injury,Dawn/Dusk,Snow/Ice,30,0,0,2023-05-01
2019,2,17,13,Lee Hwy,Angle,Property Damage Only,Dark - Lighted,Clear,35,0,0,2019-02-17
2021,5,26,16,N Fairfax Dr,Rear-End,Fatal,Dark - Unlighted,Rain,45,0,0,2021-05-26
2022,10,8,8,Glebe Rd,Sideswipe,Injury,Daylight,Clear,25,0,0,2022-10-08
2019,7,13,18,N Fairfax Dr,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Snow/Ice,25,1,0,2019-07-13
2019,12,6,14,Columbia Pike,Head-On,Serious Injury,Dawn/Dusk,Clear,35,0,0,2019-12-06
2023,2,17,16,Wilson Blvd,Angle,Serious Injury,Dark - Lighted,Clear,45,0,0,2023-02-17
2021,1,3,21,Arlington Blvd,Pedestrian Involved,Injury,Daylight,Clear,30,1,0,2021-01-03
2021,1,7,8,S Walter Reed Dr,Angle,Injury,Dawn/Dusk,Clear,25,0,0,2021-01-07
2021,3,19,15,Glebe Rd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Rain,35,1,0,2021-03-19
2022,12,5,4,Columbia Pike,Pedestrian Involved,Injury,Dark - Unlighted,Cloudy,25,1,0,2022-12-05
2019,7,8,22,Columbia Pike,Sideswipe,Injury,Dawn/Dusk,Clear,35,0,0,2019-07-08
2019,11,9,18,Washington Blvd,Head-On,Property Damage Only,Dark - Lighted,Clear,35,0,0,2019-11-09
2023,7,14,9,Lee Hwy,Bicycle Involved,Property Damage Only,Dawn/Dusk,Snow/Ice,25,0,1,2023-07-14
2023,5,26,17,Glebe Rd,Bicycle Involved,Property Damage Only,Daylight,Clear,25,0,1,2023-05-26
2021,3,13,23,Lee Hwy,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,35,0,1,2021-03-13
2021,2,3,7,Wilson Blvd,Sideswipe,Injury,Dawn/Dusk,Rain,35,0,0,2021-02-03
2021,2,5,7,Columbia Pike,Angle,Property Damage Only,Dawn/Dusk,Rain,45,0,0,2021-02-05
2023,9,17,17,N Fairfax Dr,Rear-End,Property Damage Only,Daylight,Cloudy,25,0,0,2023-09-17
2021,9,3,7,S Walter Reed Dr,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Cloudy,45,1,0,2021-09-03
2019,5,14,11,N Fairfax Dr,Single Vehicle,Injury,Daylight,Clear,30,0,0,2019-05-14
2023,9,6,8,N Fairfax Dr,Angle,Fatal,Dark - Lighted,Clear,35,0,0,2023-09-06
2021,5,16,20,Lee Hwy,Rear-End,Property Damage Only,Dark - Lighted,Clear,45,0,0,2021-05-16
2021,7,10,2,Washington Blvd,Single Vehicle,Injury,Daylight,Clear,35,0,0,2021-07-10
2021,4,24,19,Washington Blvd,Pedestrian Involved,Property Damage Only,Dark - Lighted,Cloudy,45,1,0,2021-04-24
2019,3,10,7,Wilson Blvd,Head-On,Injury,Dark - Unlighted,Snow/Ice,45,0,0,2019-03-10
2021,8,11,18,N Fairfax Dr,Single Vehicle,Injury,Dark - Lighted,Snow/Ice,35,0,0,2021-08-11
2021,10,23,16,Glebe Rd,Head-On,Property Damage Only,Dark - Unlighted,Clear,30,0,0,2021-10-23
2022,6,10,21,Washington Blvd,Pedestrian Involved,Property Damage Only,Dark - Lighted,Snow/Ice,35,1,0,2022-06-10
2022,5,27,13,N Fairfax Dr,Sideswipe,Property Damage Only,Daylight,Clear,30,0,0,2022-05-27
2023,9,6,17,N Pershing Dr,Rear-End,Property Damage Only,Dawn/Dusk,Clear,30,0,0,2023-09-06
2022,5,27,13,Columbia Pike,Single Vehicle,Property Damage Only,Dawn/Dusk,Rain,45,0,0,2022-05-27
2020,11,10,8,Glebe Rd,Sideswipe,Injury,Dark - Lighted,Clear,45,0,0,2020-11-10
2022,2,15,12,S Walter Reed Dr,Head-On,Property Damage Only,Dawn/Dusk,Clear,45,0,0,2022-02-15
2023,1,26,10,Clarendon Blvd,Bicycle Involved,Property Damage Only,Daylight,Rain,25,0,1,2023-01-26
2020,11,22,8,Clarendon Blvd,Angle,Injury,Daylight,Fog,45,0,0,2020-11-22
2021,7,4,18,Wilson Blvd,Rear-End,Property Damage Only,Dark - Unlighted,Clear,30,0,0,2021-07-04
2023,12,17,6,N Pershing Dr,Pedestrian Involved,Property Damage Only,Dark - Lighted,Cloudy,45,1,0,2023-12-17
2021,7,15,7,S Walter Reed Dr,Bicycle Involved,Property Damage Only,Dark - Lighted,Rain,35,0,1,2021-07-15
2019,8,4,17,Arlington Blvd,Head-On,Property Damage Only,Daylight,Clear,25,0,0,2019-08-04
2020,6,10,9,Clarendon Blvd,Head-On,Property Damage Only,Dark - Lighted,Clear,45,0,0,2020-06-10
2021,8,4,9,Washington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,35,0,1,2021-08-04
2019,5,2,11,Columbia Pike,Rear-End,Property Damage Only,Dark - Unlighted,Rain,25,0,0,2019-05-02
2020,12,8,17,N Pershing Dr,Angle,Injury,Dark - Lighted,Clear,35,0,0,2020-12-08
2023,7,15,7,Glebe Rd,Single Vehicle,Property Damage Only,Dawn/Dusk,Rain,30,0,0,2023-07-15
2020,11,22,17,N Fairfax Dr,Head-On,Property Damage Only,Daylight,Cloudy,30,0,0,2020-11-22
2022,10,14,4,N Fairfax Dr,Rear-End,Property Damage Only,Dark - Lighted,Rain,30,0,0,2022-10-14
2021,12,26,19,Columbia Pike,Pedestrian Involved,Injury,Daylight,Snow/Ice,30,1,0,2021-12-26
2021,6,7,9,Washington Blvd,Rear-End,Injury,Dark - Unlighted,Clear,45,0,0,2021-06-07
2023,11,11,20,S Walter Reed Dr,Head-On,Property Damage Only,Dawn/Dusk,Snow/Ice,25,0,0,2023-11-11
2021,6,28,12,Washington Blvd,Pedestrian Involved,Injury,Dark - Lighted,Clear,35,1,0,2021-06-28
2023,10,3,17,Lee Hwy,Sideswipe,Property Damage Only,Daylight,Clear,30,0,0,2023-10-03
2021,2,6,8,Clarendon Blvd,Bicycle Involved,Property Damage Only,Dark - Lighted,Fog,45,0,1,2021-02-06
2022,10,5,7,S Walter Reed Dr,Head-On,Fatal,Dawn/Dusk,Clear,30,0,0,2022-10-05
2022,11,18,7,Lee Hwy,Pedestrian Involved,Injury,Dark - Lighted,Rain,45,1,0,2022-11-18
2021,3,6,13,Clarendon Blvd,Single Vehicle,Property Damage Only,Dawn/Dusk,Rain,25,0,0,2021-03-06
2021,1,16,7,Lee Hwy,Angle,Fatal,Dawn/Dusk,Cloudy,45,0,0,2021-01-16
2022,11,16,17,N Fairfax Dr,Bicycle Involved,Property Damage Only,Dawn/Dusk,Rain,45,0,1,2022-11-16
2020,2,19,5,Wilson Blvd,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,35,0,0,2020-02-19
2019,5,8,12,N Pershing Dr,Sideswipe,Injury,Dark - Lighted,Rain,45,0,0,2019-05-08
2023,12,25,18,Washington Blvd,Pedestrian Involved,Property Damage Only,Daylight,Clear,25,1,0,2023-12-25
2021,9,27,10,Clarendon Blvd,Pedestrian Involved,Fatal,Daylight,Clear,45,1,0,2021-09-27
2023,4,14,19,Columbia Pike,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,35,0,1,2023-04-14
2019,8,9,17,Clarendon Blvd,Single Vehicle,Property Damage Only,Daylight,Fog,45,0,0,2019-08-09
2019,4,7,20,S Walter Reed Dr,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,45,0,1,2019-04-07
2020,10,5,16,Glebe Rd,Single Vehicle,Serious Injury,Dark - Lighted,Clear,25,0,0,2020-10-05
2023,6,18,16,Arlington Blvd,Pedestrian Involved,Injury,Dark - Lighted,Rain,35,1,0,2023-06-18
2021,5,19,6,Arlington Blvd,Single Vehicle,Injury,Daylight,Cloudy,30,0,0,2021-05-19
2022,1,9,7,Lee Hwy,Bicycle Involved,Property Damage Only,Dark - Lighted,Cloudy,30,0,1,2022-01-09
2020,12,11,7,Glebe Rd,Single Vehicle,Injury,Dawn/Dusk,Clear,45,0,0,2020-12-11
2020,10,21,8,Arlington Blvd,Bicycle Involved,Injury,Dawn/Dusk,Clear,45,0,1,2020-10-21
2022,2,21,14,Columbia Pike,Head-On,Property Damage Only,Dark - Unlighted,Rain,35,0,0,2022-02-21
2022,8,11,7,S Walter Reed Dr,Rear-End,Property Damage Only,Daylight,Cloudy,45,0,0,2022-08-11
2021,2,26,8,N Pershing Dr,Head-On,Injury,Dark - Lighted,Clear,45,0,0,2021-02-26
2020,8,9,18,Clarendon Blvd,Single Vehicle,Property Damage Only,Dark - Unlighted,Cloudy,35,0,0,2020-08-09
2023,10,5,12,S Walter Reed Dr,Single Vehicle,Property Damage Only,Dawn/Dusk,Clear,35,0,0,2023-10-05
2019,1,4,7,Washington Blvd,Rear-End,Property Damage Only,Daylight,Clear,30,0,0,2019-01-04
2022,8,1,19,N Fairfax Dr,Angle,Property Damage Only,Dark - Lighted,Clear,35,0,0,2022-08-01
2020,5,3,16,Clarendon Blvd,Sideswipe,Injury,Daylight,Clear,35,0,0,2020-05-03
2020,1,13,7,Arlington Blvd,Bicycle Involved,Property Damage Only,Dark - Lighted,Rain,45,0,1,2020-01-13
2019,12,4,17,Wilson Blvd,Angle,Property Damage Only,Dawn/Dusk,Snow/Ice,25,0,0,2019-12-04
2020,10,8,18,N Pershing Dr,Bicycle Involved,Property Damage Only,Dawn/Dusk,Fog,25,0,1,2020-10-08
2019,12,11,7,Columbia Pike,Single Vehicle,Property Damage Only,Dawn/Dusk,Clear,30,0,0,2019-12-11
2022,2,8,5,N Fairfax Dr,Rear-End,Property Damage Only,Daylight,Cloudy,25,0,0,2022-02-08
2021,6,10,3,Lee Hwy,Head-On,Property Damage Only,Dark - Lighted,Clear,30,0,0,2021-06-10
2019,9,19,21,Wilson Blvd,Pedestrian Involved,Property Damage Only,Dark - Lighted,Clear,45,1,0,2019-09-19
2021,12,7,3,Lee Hwy,Head-On,Property Damage Only,Dawn/Dusk,Cloudy,30,0,0,2021-12-07
2019,2,5,22,Columbia Pike,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Cloudy,35,1,0,2019-02-05
2022,6,26,16,Lee Hwy,Angle,Injury,Dark - Unlighted,Clear,25,0,0,2022-06-26
2020,9,20,14,S Walter Reed Dr,Bicycle Involved,Property Damage Only,Dark - Unlighted,Rain,25,0,1,2020-09-20
